Date,Open,High,Low,Close,Adj Close,Volume,Volume USD,Growth_rate_x,Index ,Monthly in Billions  ,Growth_rate_y,Trend
2023-01-31,22840.79688,23225.02148,22765.56836,23139.2832,23139.2832,22837828665.0,528451000000000.0,184.1439939778471,M2 Index,21222.4,-0.3430338,0
2023-02-28,23521.83789,23585.38477,23077.65039,23147.35352,23147.35352,20535363434.0,475339000000000.0,-10.05050610179562,M2 Index,21149.6,-1.1697621,1
2023-03-31,28032.26172,28639.89648,27583.71484,28478.48438,28478.48438,19001327598.0,541129000000000.0,13.840648463517624,M2 Index,20902.2,-0.7525524,0
2023-04-30,29245.51563,29952.0293,29114.02148,29268.80664,29268.80664,14652199272.0,428852000000000.0,-20.748656974584623,M2 Index,20744.9,0.4454107,0
2023-05-31,27700.5293,27831.67773,26866.45313,27219.6582,27219.6582,15656371534.0,426161000000000.0,-0.6274892037346214,M2 Index,20837.3,-0.08206440000000001,1
2023-06-30,30441.35352,31256.86328,29600.27539,30477.25195,30477.25195,26387306197.0,804213000000000.0,88.71107398377609,M2 Index,20820.2,-0.131603,0
2023-07-31,29278.31445,29489.87305,29131.57813,29230.11133,29230.11133,11656781982.0,340729000000000.0,-57.631995503678745,M2 Index,20792.8,-0.1375476,1
2023-08-31,27301.92969,27456.07813,25752.92969,25931.47266,25931.47266,20181001451.0,523323000000000.0,53.589216063205654,M2 Index,20764.2,-0.2634342,0
2023-09-30,26911.68945,27091.79492,26888.96875,26967.91602,26967.91602,5331172801.0,143771000000000.0,-72.52729194015932,M2 Index,20709.5,-0.0931939,1
2023-10-31,34500.07813,34719.25391,34083.30859,34667.78125,34667.78125,15758270810.0,546304000000000.0,279.98205479547335,M2 Index,20690.2,0.060415100000000006,1
2023-11-30,37861.11719,38141.75391,37531.14063,37712.74609,37712.74609,18115982627.0,683203000000000.0,25.05912458997188,M2 Index,20702.7,0.235235,1
2023-12-31,42152.09766,42860.9375,41998.25391,42265.1875,42265.1875,16397498810.0,693043000000000.0,1.4402747060537013,M2 Index,20751.4,0.0,0
