Date,NASDQ_PX_LAST
3/23/2023,11787.4
3/22/2023,11669.96
3/21/2023,11860.11
3/20/2023,11675.54
3/17/2023,11630.51
3/16/2023,11717.28
3/15/2023,11434.05
3/14/2023,11428.15
3/13/2023,11188.84
3/10/2023,11138.89
3/9/2023,11338.35
3/8/2023,11576
3/7/2023,11530.33
3/6/2023,11675.74
3/3/2023,11689.01
3/2/2023,11462.98
3/1/2023,11379.48
2/28/2023,11455.54
2/27/2023,11466.98
2/24/2023,11394.94
2/23/2023,11590.4
2/22/2023,11507.07
2/21/2023,11492.3
2/17/2023,11787.27
2/16/2023,11855.83
2/15/2023,12070.59
2/14/2023,11960.15
2/13/2023,11891.79
2/10/2023,11718.12
2/9/2023,11789.58
2/8/2023,11910.52
2/7/2023,12113.79
2/6/2023,11887.45
2/3/2023,12006.96
2/2/2023,12200.82
2/1/2023,11816.32
1/31/2023,11584.55
1/30/2023,11393.81
1/27/2023,11621.71
1/26/2023,11512.41
1/25/2023,11313.36
1/24/2023,11334.27
1/23/2023,11364.41
1/20/2023,11140.43
1/19/2023,10852.27
1/18/2023,10957.01
1/17/2023,11095.11
1/13/2023,11079.16
1/12/2023,11001.1
1/11/2023,10931.67
1/10/2023,10742.63
1/9/2023,10635.65
1/6/2023,10569.29
1/5/2023,10305.24
1/4/2023,10458.76
1/3/2023,10386.98
12/30/2022,10466.48
12/29/2022,10478.09
12/28/2022,10213.29
12/27/2022,10353.23
12/23/2022,10497.86
12/22/2022,10476.12
12/21/2022,10709.37
12/20/2022,10547.11
12/19/2022,10546.03
12/16/2022,10705.41
12/15/2022,10810.53
12/14/2022,11170.89
12/13/2022,11256.81
12/12/2022,11143.74
12/9/2022,11004.62
12/8/2022,11082
12/7/2022,10958.55
12/6/2022,11014.89
12/5/2022,11239.94
12/2/2022,11461.5
12/1/2022,11482.45
11/30/2022,11468
11/29/2022,10983.78
11/28/2022,11049.5
11/25/2022,11226.36
11/23/2022,11285.32
11/22/2022,11174.41
11/21/2022,11024.51
11/18/2022,11146.06
11/17/2022,11144.96
11/16/2022,11183.66
11/15/2022,11358.41
11/14/2022,11196.22
11/11/2022,11323.33
11/10/2022,11114.15
11/9/2022,10353.17
11/8/2022,10616.2
11/7/2022,10564.52
11/4/2022,10475.25
11/3/2022,10342.94
11/2/2022,10524.8
11/1/2022,10890.85
10/31/2022,10988.15
10/28/2022,11102.45
10/27/2022,10792.67
10/26/2022,10970.99
